;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26655;26655;ARMAGNAGUE,FERNANDO;MOA   ;QUE EL PE DECLARE DE INTERES PCIAL. LAS PRIMERAS JORNADAS DEINTEGRACION Y RECREACION PARA NINOS ASISTENTES A JARDINESMATERNALES;CD;D ;PA;30/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26826;26826;ARMAGNAGUE,FERNANDO;BRUNI MOA ZICATO ;CREANDO REGISTRO UNO DE BENEFICIARIOS DE PLANES SOCIALES YPRESTACIONES ASISENCIALES EN LA PROVINCIA;CD;L ;PA;21/09/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26858;26858;ARMAGNAGUE,FERNANDO;MANZITTI PELTIER VILLANUEVA ;SOLICITANDO A LOS PODERES EJECUTIVOS Y LEGISLATURAS DE MENDOZA Y SAN JUAN UNA REUNION A EFECTOS DE IMPLEMENTAR ESTRATEGIA VITIVINICOLA COMUN A FIN DE ANALIZAR CAIDA CONSUMO DE VINO;CD;R ;PA;27/09/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26964;26964;ARMAGNAGUE,FERNANDO;CICCITTI LIBERAL BRUNI CARRASCO;SOLICITANDO TRIBUNAL DE CUENTAS Y A FISCALIA DE ESTADOINVESTIGUEN EJECUCION DEL CONTRATO DE CONSTRUCCION,MANTENIMIENTO Y OPERACION DE LA CENTRAL NIHUIL IV;CD;R ;PA;10/10/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26990;26990;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO DEPTO. GRAL. IRRIGACION INFORME SOBRE MEDIDAS DECONTROL RESPECTO A LA CONTAMINACION DE LOS ACUIFEROS EN LAZONA DE EL CARRIZAL;CD;R ;PA;17/10/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26991;26991;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO A LA DCCION. DE DEFENSA AL CONSUMIDOR Y LA COMPETENCIA INFORMEN SOBRE DIFERENCIA DE PRECIOS DE PROD. DE LA SCANASTA FLIAR. ENTRE SUPERMERCADOS Y COMERCIOS TRADICIONALES;CD;R ;PA;17/10/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27106;27106;ARMAGNAGUE,FERNANDO;   ;ESTABLECIENDO QUE EL ORGANO DIRECTIVO DE ENTES CONTROLADORESY REGULADORES DE SERVICIOS PUBLICOS O CONCESIONES DE O.P.DEBE ESTAR INTEGRADO POR USUARIOS DEL SERVICIO U OBRA;CD;L ;PA;31/10/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27277;27277;ARMAGNAGUE,FERNANDO;   ;DESIGNANDO CON EL NOMBRE DE "DOCENTE ROSALBA PUIGDENGOLAS DELACIAR"  A LA ESCUELA NRO. 0-010 DE SAN RAFAEL;CD;L ;PA;27/11/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27267;27267;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO EPRE INFORME SOBRE PROPUESTAS DE NUEVOS CUADROSTARIFARIOS SOLICITADOS POR EDEMSA;CD;R ;PA;27/11/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27481;27481;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO EMPRESA CONCESIONARIA CAMINOS DEL OESTE S.A.INFORME SOBRE PUNTOS EN RELACION AL ACCIDENTE OCURRIDO ENRUTA NACIONAL 7;CD;R ;PA;02/01/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27696;27696;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO PE Y EPRE INFORMEN SOBRE INTEGRANTES DE LACOMISION PARA TRANSF. SECTOR ELECTRICO Y COMISION PREADJUD.LICITACION DE EDEMSA;CD;R ;PA;20/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27718;27718;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI  ;PROHIBIENDO SE AUTORICE LA INSTALACION, HABILITACION O AMPLIACION DE ESTABLECIMIENTOS COMERCIALES, CON SUPERFICIES MAYORES DE 2000 METROS EN ZONAS CON MENOS DE 150.000 HABITANTES;CD;L ;PA;26/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27719;27719;ARMAGNAGUE,FERNANDO;ABDALA MANZITTI  ;ESTABLECIENDO QUE EL PE PROMOVERA Y ASEGURARA LA TRANSPARENCIA Y SIMPLIFICACION DE LOS USUARIOS DE TARJETAS DE CREDITODE COMPRA, Y TARJETAS DE DEBITOS;CD;L ;PA;26/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27989;27989;ARMAGNAGUE,FERNANDO;MANZITTI PEREZ BOTTI AGUINAGA ;CREANDO EL REGIMEN DE LICENCIAS PARA MAGISTRADOS DEL PODERJUDICIAL Y FUNCIONARIOS QUE ESTEN EQUIPARADOS A LOS MAGISTRADOS;CD;L ;PA;10/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28065;28065;ARMAGNAGUE,FERNANDO;   ;MODIFICANDO LA LEY DE AMPARO (2589 MODIFICADA POR LEY 6504);CD;L ;PA;24/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28265;28265;ARMAGNAGUE,FERNANDO;BRUNI   ;SOLICITANDO D.G.E. ORGANICE EN TODOS LOS ESTABLECIMIENTOSTERCIARIOS DEPENDIENTES DE SU JURISDICCION, CICLOS DECONFERENCIAS A FIN DE INFORMAR SOBRE CONTENIDO LEY 6896;CD;R ;PA;23/05/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28419;28419;ARMAGNAGUE,FERNANDO;MANZITTI   ;MODIFICANDO ART. 1 LEY 5607 -CONFLICTOS INTERADMINISTRATIVO-;CD;L ;PA;26/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28433;28433;ARMAGNAGUE,FERNANDO;MANZITTI MOA  ;CONSTITUYENDO EL COLEGIO DE GEOGRAFOS PROFESIONALES DE LAPROVINCIA DE MENDOZA;CD;L ;PA;27/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28434;28434;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI PELTIER MOA;ESTABLECIENDO C/U CAMARAS, TENDRAN TODAS LAS FACULTADES YATRIBUCIONES PROPIAS DEL CUERPO QUE REPRESENTAN, SINPERJUICIO DE ESTABLECER EL ALCANCE DE LAS MISMAS;CD;L ;PA;27/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28606;28606;ARMAGNAGUE,FERNANDO;   ;MODIFICANDO EL ART. 3 DE LA LEY 5374 -ANTITABAQUICA-;CD;L ;PA;31/07/2001
