;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25949;25949;AHUMADA,ARTURO;   ;SOLICITANDO PE INFORME SOBRE LA GUIA DE EDUCACION AMBIENTALFLORA Y FAUNA DE MENDOZA;CD;R ;PJ;19/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26228;26228;AHUMADA,ARTURO;VILLANUEVA   ;INVITANDO AL MINIST. DE AMB. Y OP A REUNION CON LAS COMISIONES DE LABOR PARL., H.P. Y DE O.P.I. A FIN DE INFORMAR SOBREEL FONDO FIDUCIARIO DE OBRAS PUBLICAS;CD;R ;PJ;01/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26067;26067;AHUMADA,ARTURO;   ;SOLICITANDO MIN.HAC. INFORME POLITICA RESPECTO A LOS TITULOSPRENDARIOS DE LUJAN WILLIAMS SERIES 3,4 Y 6 CLASE A, QUECONTABILIZA EL FON.PRO.TRA.CRE.;CD;R ;PJ;02/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26117;26117;AHUMADA,ARTURO;CASTANOS   ;FACULTANDO AL FONDO DE ENTES RESIDUALES A CONVENIR CON ELFIDEICOMISO MENDOZA, LA FINANCIACION DE LOS SALDOS PENDIENTEPOR GESTION DE CREDITO;CD;L ;PJ;08/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26142;26142;AHUMADA,ARTURO;   ;QUE PE REALICE GESTIONES PARA QUE LA PROXIMA REUNION DEGOBERNADORES DEL MERCOSUR, SE REALICE EN NUESTRA PROVINCIA;CD;D ;PJ;13/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26143;26143;AHUMADA,ARTURO;COCOLO SERRALTA  ;CREANDO EN EL AMBITO DEL MINISTERIO DE ECONOMIA, EL FONDO DEPROMOCION CLIMATICAS (FEC);CD;L ;PJ;13/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26227;26227;AHUMADA,ARTURO;   ;MANIFESTANDO EL REPUDIO DE LA H. CAMARA Y CONSECUENTE RECHAZO A LAS MANIFESTACIONES DEL PRESIDENTE DE LA CAMARA DE COMERCIO DE LOS EEUU, THOMAS DONOHUE, AL PRESIDENTE DE LA RUA;CD;R ;PJ;20/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26189;26189;AHUMADA,ARTURO;   ;SOLICITANDO PE TOME CONOCIMIENTO DE LA RESOLUCION DE LASECRETARIA DE ENERGIA DE LA NACION, RESPECTO AL AUMENTO DELAS TARIFAS ELECTRICAS;CD;R ;PJ;20/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26188;26188;AHUMADA,ARTURO;   ;SOLICITANDO SECRETARIA DE ENERGIA DE LA NACION RECONSIDERELA RESOLUCION 111/00, RESPECTO AL AUMENTO DE LAS TARIFASELECTRICAS;CD;R ;PJ;20/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26187;26187;AHUMADA,ARTURO;   ;SOLICITANDO AL PE LA PUBLICACION DE UN BOLETIN MENSUAL DEINGRESOS DE LA PROVINCIA;CD;R ;PJ;20/06/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26278;26278;AHUMADA,ARTURO;SERRALTA   ;INSTRUYENDO AL PE PARA QUE TRANSFIERA A FAVOR DE LOSMUNICIPIOS TODOS LOS CREDITOS POR COBRAR DEL SERVICIO DEPROVISION DE ENERGIA QUE TITULARICE EMSE EN LIQUIDACION;CD;L ;PJ;03/07/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26418;26418;AHUMADA,ARTURO;   ;SOLICITANDO A LA ADMINIST. NACIONAL DE VIALIDAD INFORME SOBRE EL GRADO DE CUMPLIMIENTO POR PARTE DE LA CONCESIONARIADEL MANTENIMIENTO DE LA RTA. NAC. 40 Y RTA. 7;CD;R ;PJ;27/07/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26433;26433;AHUMADA,ARTURO;COCOLO   ;INVITANDO MIN.ECO. A COMISION DE H.P Y ECONOMIA A FIN DEINFORMAR SOBRE LAS ENTIDADES FINANCIERAS QUE HAN PARTICIPADOEN LA IMPLEMENTACION DE LA LEY 6759;CD;R ;PJ;31/07/2000
